CustomerID,CompanyName,ContactName,ContactTitle,City,Region,Country,Phone,DataSource,CustomerKey
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Unknown,Germany,030-0074321,SQLServer,1
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,México D.F.,Unknown,Mexico,(5) 555-4729,SQLServer,2
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,México D.F.,Unknown,Mexico,(5) 555-3932,SQLServer,3
AROUT,Around the Horn,Thomas Hardy,Sales Representative,London,Unknown,UK,(171) 555-7788,SQLServer,4
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Luleå,Unknown,Sweden,0921-12 34 65,SQLServer,5
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Mannheim,Unknown,Germany,0621-08460,SQLServer,6
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,Unknown,France,88.60.15.31,SQLServer,7
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,Madrid,Unknown,Spain,(91) 555 22 82,SQLServer,8
BONAP,Bon app',Laurence Lebihan,Owner,Marseille,Unknown,France,91.24.45.40,SQLServer,9
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,BC,Canada,(604) 555-4729,SQLServer,10
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,London,Unknown,UK,(171) 555-1212,SQLServer,11
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Buenos Aires,Unknown,Argentina,(1) 135-5555,SQLServer,12
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,México D.F.,Unknown,Mexico,(5) 555-3392,SQLServer,13
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Unknown,Switzerland,0452-076545,SQLServer,14
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Sao Paulo,SP,Brazil,(11) 555-7647,SQLServer,15
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,Unknown,UK,(171) 555-2282,SQLServer,16
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Aachen,Unknown,Germany,0241-039123,SQLServer,17
DUMON,Du monde entier,Janine Labrune,Owner,Nantes,Unknown,France,40.67.88.88,SQLServer,18
EASTC,Eastern Connection,Ann Devon,Sales Agent,London,Unknown,UK,(171) 555-0297,SQLServer,19
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Unknown,Austria,7675-3425,SQLServer,20
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Sao Paulo,SP,Brazil,(11) 555-9857,SQLServer,21
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,Madrid,Unknown,Spain,(91) 555 94 44,SQLServer,22
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,Lille,Unknown,France,20.16.10.16,SQLServer,23
FOLKO,Folk och fä HB,Maria Larsson,Owner,Bräcke,Unknown,Sweden,0695-34 67 21,SQLServer,24
FRANK,Frankenversand,Peter Franken,Marketing Manager,München,Unknown,Germany,089-0877310,SQLServer,25
FRANR,France restauration,Carine Schmitt,Marketing Manager,Nantes,Unknown,France,40.32.21.21,SQLServer,26
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Torino,Unknown,Italy,011-4988260,SQLServer,27
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Lisboa,Unknown,Portugal,(1) 354-2534,SQLServer,28
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,Barcelona,Unknown,Spain,(93) 203 4560,SQLServer,29
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,Sevilla,Unknown,Spain,(95) 555 82 82,SQLServer,30
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,Campinas,SP,Brazil,(11) 555-9482,SQLServer,31
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,Eugene,OR,USA,(503) 555-7555,SQLServer,32
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,DF,Venezuela,(2) 283-2951,SQLServer,33
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,RJ,Brazil,(21) 555-0091,SQLServer,34
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Táchira,Venezuela,(5) 555-1340,SQLServer,35
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,OR,USA,(503) 555-6874,SQLServer,36
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,Cork,Co. Cork,Ireland,2967 542,SQLServer,37
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Cowes,Isle of Wight,UK,(198) 555-8888,SQLServer,38
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Brandenburg,Unknown,Germany,0555-09876,SQLServer,39
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,Versailles,Unknown,France,30.59.84.10,SQLServer,40
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,Unknown,France,61.77.61.10,SQLServer,41
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,Vancouver,BC,Canada,(604) 555-3392,SQLServer,42
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,Walla Walla,WA,USA,(509) 555-7969,SQLServer,43
